millis,stamp,datetime,humidity,temp
82200000,1669039470,"2022/11/21 14:4:30",28.00,22.40
82499999,1669039770,"2022/11/21 14:9:30",28.20,22.30
82799998,1669040069,"2022/11/21 14:14:29",28.20,22.20
83100000,1669040369,"2022/11/21 14:19:29",28.10,22.20
83399999,1669040669,"2022/11/21 14:24:29",28.10,22.20
83699998,1669040969,"2022/11/21 14:29:29",27.80,22.30
83999998,1669041269,"2022/11/21 14:34:29",27.90,22.20
84299999,1669041569,"2022/11/21 14:39:29",28.00,22.20
84599999,1669041868,"2022/11/21 14:44:28",28.00,22.20
84899999,1669042168,"2022/11/21 14:49:28",28.10,22.10
85199998,1669042468,"2022/11/21 14:54:28",28.10,22.20
85499999,1669042768,"2022/11/21 14:59:28",28.00,22.30
85799999,1669043068,"2022/11/21 15:4:28",27.90,22.20
86099998,1669043367,"2022/11/21 15:9:27",28.00,22.20
86399998,1669043667,"2022/11/21 15:14:27",27.70,22.40
86699999,1669043967,"2022/11/21 15:19:27",27.90,22.40
86999999,1669044267,"2022/11/21 15:24:27",27.80,22.30
87300000,1669044567,"2022/11/21 15:29:27",27.90,22.20
87600000,1669044866,"2022/11/21 15:34:26",28.10,22.20
87899999,1669045166,"2022/11/21 15:39:26",27.90,22.30
88199998,1669045466,"2022/11/21 15:44:26",27.80,22.30
88499999,1669045766,"2022/11/21 15:49:26",27.90,22.20
88799998,1669046066,"2022/11/21 15:54:26",28.10,22.30
89099999,1669046365,"2022/11/21 15:59:25",27.90,22.30
89399999,1669046665,"2022/11/21 16:4:25",27.80,22.40
89699999,1669046965,"2022/11/21 16:9:25",28.50,22.30
89999998,1669047265,"2022/11/21 16:14:25",28.40,22.40
90299999,1669047565,"2022/11/21 16:19:25",28.80,22.50
90599999,1669047865,"2022/11/21 16:24:25",29.20,22.50
90899999,1669048164,"2022/11/21 16:29:24",29.30,22.40
91199998,1669048464,"2022/11/21 16:34:24",28.80,22.30
91499999,1669048764,"2022/11/21 16:39:24",28.70,22.20
91800000,1669049064,"2022/11/21 16:44:24",27.80,22.10
92099998,1669049364,"2022/11/21 16:49:24",28.50,22.10
92400000,1669049663,"2022/11/21 16:54:23",28.40,22.30
92699999,1669049963,"2022/11/21 16:59:23",28.40,22.30
93000000,1669050263,"2022/11/21 17:4:23",28.40,22.20
93299998,1669050563,"2022/11/21 17:9:23",28.50,22.30
93599998,1669050863,"2022/11/21 17:14:23",28.30,22.40
93900000,1669051162,"2022/11/21 17:19:22",28.60,22.40
94199999,1669051462,"2022/11/21 17:24:22",28.50,22.30
94499998,1669051762,"2022/11/21 17:29:22",28.60,22.40
94800000,1669052062,"2022/11/21 17:34:22",28.70,22.30
95100000,1669052362,"2022/11/21 17:39:22",28.90,22.40
